1657,43.271206,-79.856873,2010,51,,
1658,43.271206,-79.851379,2274,32,,
1659,43.267206,-79.851379,2308,36,,
1660,43.267206,-79.856873,1368,61,,
1661,43.267206,-79.862366,1447,45,,
1662,43.263206,-79.862366,2380,50,,
1663,43.263206,-79.867859,2215,78,,
1664,43.267206,-79.867859,1824,43,,
1665,43.271206,-79.862366,1607,36,,
1666,43.259206,-79.867859,2253,256,,
1667,43.263206,-79.856873,3250,45,,
1668,43.259206,-79.856873,2613,54,,
1669,43.259206,-79.862366,1979,76,,
1670,43.255205,-79.862366,2787,32,,
1671,43.255205,-79.867859,2598,60,,
1672,43.255205,-79.873352,2539,13,,
1673,43.259206,-79.873352,2553,17,,
1674,43.255205,-79.856873,2891,27,,
1675,43.255205,-79.851379,2293,21,,
1676,43.259206,-79.851379,3377,28,,
1677,43.263206,-79.851379,2150,9,,
1678,43.263206,-79.873352,1303,8,,
1679,43.263206,-79.878845,550,3,,
1680,43.275206,-79.862366,1471,24,,
1681,43.279205,-79.856873,1217,6,,
1682,43.279205,-79.862366,2320,9,,
1683,43.275206,-79.867859,1938,9,,
1684,43.271206,-79.867859,1575,25,,
1685,43.275206,-79.856873,1884,103,,
1686,43.271206,-79.873352,993,10,,
1687,43.267206,-79.873352,1020,10,,
1692,43.267206,-79.845886,2385,7,,
1693,43.267206,-79.840393,2645,9,,
1694,43.267206,-79.834900,3038,6,,
1702,43.275206,-79.873352,436,2,,
1703,43.251204,-79.862366,1173,22,,
1704,43.271206,-79.845886,3327,3,,
1705,43.271206,-79.840393,2540,5,,
1706,43.263206,-79.840393,1322,5,,
1707,43.263206,-79.845886,1119,12,,
1708,43.259206,-79.845886,2668,18,,
1709,43.255205,-79.845886,2399,20,,
1710,43.255205,-79.840393,1637,22,,
1727,43.251204,-79.856873,4017,18,,
1782,43.251204,-79.851379,4645,8,,
1783,43.251204,-79.845886,2468,5,,
1801,43.271206,-79.878845,1465,4,,
1867,43.275206,-79.851379,4101,2,,
1879,43.259206,-79.878845,2209,6,,
1880,43.259206,-79.884338,1735,6,,
1881,43.263206,-79.884338,1444,3,,
1882,43.239200,-79.829407,3324,15,,
1883,43.243202,-79.829407,3362,14,,
1884,43.243202,-79.851379,2033,28,,
1885,43.243202,-79.845886,2132,12,,
1886,43.247203,-79.845886,1557,9,,
1887,43.247203,-79.851379,1649,13,,
1909,43.259206,-79.834900,1818,12,,
1910,43.263206,-79.834900,1395,4,,
1911,43.263206,-79.829407,2098,4,,
1912,43.263206,-79.823914,1823,5,,
1913,43.259206,-79.823914,1308,10,,
1914,43.259206,-79.818420,3364,2,,
1915,43.255205,-79.818420,1202,5,,
1916,43.255205,-79.812927,1566,24,,
1917,43.251204,-79.812927,1345,36,,
1918,43.251204,-79.818420,1462,37,,
1919,43.247203,-79.818420,1422,49,,
1920,43.247203,-79.823914,1054,11,,
1921,43.251204,-79.823914,863,9,,
1922,43.251204,-79.829407,1060,16,,
1923,43.251204,-79.834900,1293,20,,
1924,43.259206,-79.840393,3115,24,,
1925,43.255205,-79.834900,2673,30,,
1926,43.255205,-79.829407,1659,60,,
1930,43.251204,-79.840393,1047,9,,
1931,43.247203,-79.812927,1389,12,,
1932,43.247203,-79.807434,666,14,,
1933,43.251204,-79.807434,834,18,,
1934,43.255205,-79.823914,1394,11,,
1935,43.235198,-79.856873,1957,42,,
1936,43.235198,-79.851379,1679,37,,
1937,43.239200,-79.851379,2154,31,,
1938,43.239200,-79.845886,2454,3,,
1939,43.239200,-79.840393,1867,2,,
1940,43.239200,-79.834900,2608,3,,
1941,43.243202,-79.856873,2449,7,,
1942,43.235198,-79.862366,2053,2,,
1943,43.239200,-79.862366,1066,1,,
1944,43.239200,-79.856873,2303,8,,
1945,43.231196,-79.856873,1513,8,,
1946,43.259206,-79.812927,4651,5,,
1953,43.227194,-79.823914,14990,2,,
1954,43.231196,-79.823914,8968,4,,
1959,43.267206,-79.829407,1894,1,,
1969,43.223191,-79.818420,1810,1,,
1970,43.227194,-79.818420,1755,1,,
1971,43.231196,-79.818420,999,2,,
1972,43.235198,-79.829407,1603,1,,
1973,43.235198,-79.823914,3487,8,,
1974,43.231196,-79.812927,808,3,,
1975,43.235198,-79.812927,668,4,,
1976,43.239200,-79.812927,1337,17,,
1977,43.243202,-79.807434,908,14,,
1978,43.243202,-79.812927,1199,7,,
1979,43.259206,-79.829407,1565,13,,
1980,43.263206,-79.818420,5110,2,,
1981,43.259206,-79.807434,4395,2,,
1982,43.259206,-79.801941,4288,3,,
1983,43.255205,-79.796448,5168,3,,
1984,43.255205,-79.790955,5741,3,,
1985,43.259206,-79.796448,2109,1,,
